area,statistic,age_category,quantity,State
Gorton,Participation rate (%),80-84 years,81.3,Victoria
Gorton,Total participants,85 years and over,852.0,Victoria
Gorton,Eligible participants,85 years and over,1128.0,Victoria
Gorton,Participation rate (%),85 years and over,75.5,Victoria
Gorton,Total participants,Age or gender ndf,524.0,Victoria
Gorton,Eligible participants,Age or gender ndf,669.0,Victoria
Gorton,Participation rate (%),Age or gender ndf,78.3,Victoria
Gorton,Total participants,Total Persons,93768.0,Victoria
Gorton,Eligible participants,Total Persons,121247.0,Victoria
Gorton,Participation rate (%),Total Persons,77.3,Victoria
Higgins,Total participants,18-19 years,2094.0,Victoria
Higgins,Eligible participants,18-19 years,2395.0,Victoria
Higgins,Participation rate (%),18-19 years,87.4,Victoria
Higgins,Total participants,20-24 years,7241.0,Victoria
Higgins,Eligible participants,20-24 years,8647.0,Victoria
Higgins,Participation rate (%),20-24 years,83.7,Victoria
Higgins,Total participants,25-29 years,9375.0,Victoria
Higgins,Eligible participants,25-29 years,11392.0,Victoria
Higgins,Participation rate (%),25-29 years,82.3,Victoria
Higgins,Total participants,30-34 years,8732.0,Victoria
Higgins,Eligible participants,30-34 years,10951.0,Victoria
Higgins,Participation rate (%),30-34 years,79.7,Victoria
Higgins,Total participants,35-39 years,7365.0,Victoria
Higgins,Eligible participants,35-39 years,9181.0,Victoria
Higgins,Participation rate (%),35-39 years,80.2,Victoria
Higgins,Total participants,40-44 years,6925.0,Victoria
Higgins,Eligible participants,40-44 years,8426.0,Victoria
Higgins,Participation rate (%),40-44 years,82.2,Victoria
Higgins,Total participants,45-49 years,7818.0,Victoria
Higgins,Eligible participants,45-49 years,9261.0,Victoria
Higgins,Participation rate (%),45-49 years,84.4,Victoria
Higgins,Total participants,50-54 years,7112.0,Victoria
Higgins,Eligible participants,50-54 years,8287.0,Victoria
Higgins,Participation rate (%),50-54 years,85.8,Victoria
Higgins,Total participants,55-59 years,6934.0,Victoria
Higgins,Eligible participants,55-59 years,7923.0,Victoria
Higgins,Participation rate (%),55-59 years,87.5,Victoria
Higgins,Total participants,60-64 years,5992.0,Victoria
Higgins,Eligible participants,60-64 years,6765.0,Victoria
Higgins,Participation rate (%),60-64 years,88.6,Victoria
Higgins,Total participants,65-69 years,5671.0,Victoria
Higgins,Eligible participants,65-69 years,6373.0,Victoria
Higgins,Participation rate (%),65-69 years,89.0,Victoria
Higgins,Total participants,70-74 years,4827.0,Victoria
Higgins,Eligible participants,70-74 years,5371.0,Victoria
Higgins,Participation rate (%),70-74 years,89.9,Victoria
Higgins,Total participants,75-79 years,3581.0,Victoria
Higgins,Eligible participants,75-79 years,4083.0,Victoria
Higgins,Participation rate (%),75-79 years,87.7,Victoria
Higgins,Total participants,80-84 years,2475.0,Victoria
Higgins,Eligible participants,80-84 years,2906.0,Victoria
Higgins,Participation rate (%),80-84 years,85.2,Victoria
Higgins,Total participants,85 years and over,2582.0,Victoria
Higgins,Eligible participants,85 years and over,3243.0,Victoria
Higgins,Participation rate (%),85 years and over,79.6,Victoria
Higgins,Total participants,Age or gender ndf,890.0,Victoria
Higgins,Eligible participants,Age or gender ndf,1025.0,Victoria
Higgins,Participation rate (%),Age or gender ndf,86.8,Victoria
Higgins,Total participants,Total Persons,89614.0,Victoria
Higgins,Eligible participants,Total Persons,106229.0,Victoria
Higgins,Participation rate (%),Total Persons,84.4,Victoria
Holt,Total participants,18-19 years,2687.0,Victoria
Holt,Eligible participants,18-19 years,3427.0,Victoria
Holt,Participation rate (%),18-19 years,78.4,Victoria
Holt,Total participants,20-24 years,8207.0,Victoria
Holt,Eligible participants,20-24 years,11377.0,Victoria
Holt,Participation rate (%),20-24 years,72.1,Victoria
Holt,Total participants,25-29 years,7962.0,Victoria
Holt,Eligible participants,25-29 years,11409.0,Victoria
Holt,Participation rate (%),25-29 years,69.8,Victoria
Holt,Total participants,30-34 years,9130.0,Victoria
Holt,Eligible participants,30-34 years,13235.0,Victoria
Holt,Participation rate (%),30-34 years,69.0,Victoria
Holt,Total participants,35-39 years,9196.0,Victoria
Holt,Eligible participants,35-39 years,12901.0,Victoria
Holt,Participation rate (%),35-39 years,71.3,Victoria
Holt,Total participants,40-44 years,8415.0,Victoria
Holt,Eligible participants,40-44 years,11236.0,Victoria
Holt,Participation rate (%),40-44 years,74.9,Victoria
Holt,Total participants,45-49 years,8677.0,Victoria
Holt,Eligible participants,45-49 years,11148.0,Victoria
Holt,Participation rate (%),45-49 years,77.8,Victoria
Holt,Total participants,50-54 years,8169.0,Victoria
Holt,Eligible participants,50-54 years,10130.0,Victoria
Holt,Participation rate (%),50-54 years,80.6,Victoria
Holt,Total participants,55-59 years,8130.0,Victoria
Holt,Eligible participants,55-59 years,9879.0,Victoria
Holt,Participation rate (%),55-59 years,82.3,Victoria
Holt,Total participants,60-64 years,6818.0,Victoria
Holt,Eligible participants,60-64 years,8096.0,Victoria
Holt,Participation rate (%),60-64 years,84.2,Victoria
Holt,Total participants,65-69 years,5637.0,Victoria
Holt,Eligible participants,65-69 years,6570.0,Victoria
Holt,Participation rate (%),65-69 years,85.8,Victoria
Holt,Total participants,70-74 years,4081.0,Victoria
Holt,Eligible participants,70-74 years,4638.0,Victoria
Holt,Participation rate (%),70-74 years,88.0,Victoria
Holt,Total participants,75-79 years,2655.0,Victoria
Holt,Eligible participants,75-79 years,3087.0,Victoria
Holt,Participation rate (%),75-79 years,86.0,Victoria
Holt,Total participants,80-84 years,1700.0,Victoria
Holt,Eligible participants,80-84 years,2049.0,Victoria
Holt,Participation rate (%),80-84 years,83.0,Victoria
Holt,Total participants,85 years and over,1335.0,Victoria
Holt,Eligible participants,85 years and over,1748.0,Victoria
Holt,Participation rate (%),85 years and over,76.4,Victoria
Holt,Total participants,Age or gender ndf,512.0,Victoria
Holt,Eligible participants,Age or gender ndf,641.0,Victoria
Holt,Participation rate (%),Age or gender ndf,79.9,Victoria
Holt,Total participants,Total Persons,93311.0,Victoria
Holt,Eligible participants,Total Persons,121571.0,Victoria
Holt,Participation rate (%),Total Persons,76.8,Victoria
Hotham,Total participants,18-19 years,1944.0,Victoria
Hotham,Eligible participants,18-19 years,2362.0,Victoria
Hotham,Participation rate (%),18-19 years,82.3,Victoria
Hotham,Total participants,20-24 years,5881.0,Victoria
Hotham,Eligible participants,20-24 years,7523.0,Victoria
Hotham,Participation rate (%),20-24 years,78.2,Victoria
Hotham,Total participants,25-29 years,5173.0,Victoria
Hotham,Eligible participants,25-29 years,6884.0,Victoria
Hotham,Participation rate (%),25-29 years,75.1,Victoria
Hotham,Total participants,30-34 years,5708.0,Victoria
Hotham,Eligible participants,30-34 years,7734.0,Victoria
Hotham,Participation rate (%),30-34 years,73.8,Victoria
Hotham,Total participants,35-39 years,6492.0,Victoria
Hotham,Eligible participants,35-39 years,8597.0,Victoria
Hotham,Participation rate (%),35-39 years,75.5,Victoria
Hotham,Total participants,40-44 years,6892.0,Victoria
Hotham,Eligible participants,40-44 years,8905.0,Victoria
Hotham,Participation rate (%),40-44 years,77.4,Victoria
Hotham,Total participants,45-49 years,7733.0,Victoria
Hotham,Eligible participants,45-49 years,9718.0,Victoria
Hotham,Participation rate (%),45-49 years,79.6,Victoria
Hotham,Total participants,50-54 years,6936.0,Victoria
Hotham,Eligible participants,50-54 years,8589.0,Victoria
Hotham,Participation rate (%),50-54 years,80.8,Victoria
Hotham,Total participants,55-59 years,6980.0,Victoria
Hotham,Eligible participants,55-59 years,8358.0,Victoria
Hotham,Participation rate (%),55-59 years,83.5,Victoria
Hotham,Total participants,60-64 years,6123.0,Victoria
Hotham,Eligible participants,60-64 years,7283.0,Victoria
Hotham,Participation rate (%),60-64 years,84.1,Victoria
Hotham,Total participants,65-69 years,5701.0,Victoria
Hotham,Eligible participants,65-69 years,6573.0,Victoria
Hotham,Participation rate (%),65-69 years,86.7,Victoria
Hotham,Total participants,70-74 years,4924.0,Victoria
Hotham,Eligible participants,70-74 years,5615.0,Victoria
Hotham,Participation rate (%),70-74 years,87.7,Victoria
Hotham,Total participants,75-79 years,3808.0,Victoria
Hotham,Eligible participants,75-79 years,4389.0,Victoria
Hotham,Participation rate (%),75-79 years,86.8,Victoria
Hotham,Total participants,80-84 years,2963.0,Victoria
Hotham,Eligible participants,80-84 years,3531.0,Victoria
Hotham,Participation rate (%),80-84 years,83.9,Victoria
Hotham,Total participants,85 years and over,3075.0,Victoria
Hotham,Eligible participants,85 years and over,3934.0,Victoria
Hotham,Participation rate (%),85 years and over,78.2,Victoria
Hotham,Total participants,Age or gender ndf,480.0,Victoria
Hotham,Eligible participants,Age or gender ndf,550.0,Victoria
Hotham,Participation rate (%),Age or gender ndf,87.3,Victoria
Hotham,Total participants,Total Persons,80813.0,Victoria
Hotham,Eligible participants,Total Persons,100545.0,Victoria
Hotham,Participation rate (%),Total Persons,80.4,Victoria
Indi,Total participants,18-19 years,1882.0,Victoria
Indi,Eligible participants,18-19 years,2333.0,Victoria
Indi,Participation rate (%),18-19 years,80.7,Victoria
Indi,Total participants,20-24 years,5099.0,Victoria
Indi,Eligible participants,20-24 years,7117.0,Victoria
Indi,Participation rate (%),20-24 years,71.6,Victoria
Indi,Total participants,25-29 years,4846.0,Victoria
Indi,Eligible participants,25-29 years,6797.0,Victoria
Indi,Participation rate (%),25-29 years,71.3,Victoria
Indi,Total participants,30-34 years,5193.0,Victoria
Indi,Eligible participants,30-34 years,6979.0,Victoria
Indi,Participation rate (%),30-34 years,74.4,Victoria
Indi,Total participants,35-39 years,5365.0,Victoria
Indi,Eligible participants,35-39 years,7052.0,Victoria
Indi,Participation rate (%),35-39 years,76.1,Victoria
Indi,Total participants,40-44 years,5984.0,Victoria
Indi,Eligible participants,40-44 years,7682.0,Victoria
Indi,Participation rate (%),40-44 years,77.9,Victoria
Indi,Total participants,45-49 years,7122.0,Victoria
Indi,Eligible participants,45-49 years,8951.0,Victoria
Indi,Participation rate (%),45-49 years,79.6,Victoria
Indi,Total participants,50-54 years,7469.0,Victoria
Indi,Eligible participants,50-54 years,9039.0,Victoria
Indi,Participation rate (%),50-54 years,82.6,Victoria
Indi,Total participants,55-59 years,8802.0,Victoria
Indi,Eligible participants,55-59 years,10246.0,Victoria
Indi,Participation rate (%),55-59 years,85.9,Victoria
Indi,Total participants,60-64 years,8961.0,Victoria
Indi,Eligible participants,60-64 years,10167.0,Victoria
Indi,Participation rate (%),60-64 years,88.1,Victoria
Indi,Total participants,65-69 years,8368.0,Victoria
Indi,Eligible participants,65-69 years,9298.0,Victoria
Indi,Participation rate (%),65-69 years,90.0,Victoria
Indi,Total participants,70-74 years,6871.0,Victoria
Indi,Eligible participants,70-74 years,7604.0,Victoria
Indi,Participation rate (%),70-74 years,90.4,Victoria
Indi,Total participants,75-79 years,4675.0,Victoria
Indi,Eligible participants,75-79 years,5189.0,Victoria
Indi,Participation rate (%),75-79 years,90.1,Victoria
Indi,Total participants,80-84 years,2939.0,Victoria
Indi,Eligible participants,80-84 years,3372.0,Victoria
Indi,Participation rate (%),80-84 years,87.2,Victoria
Indi,Total participants,85 years and over,2747.0,Victoria
Indi,Eligible participants,85 years and over,3344.0,Victoria
Indi,Participation rate (%),85 years and over,82.1,Victoria
Indi,Total participants,Age or gender ndf,489.0,Victoria
Indi,Eligible participants,Age or gender ndf,576.0,Victoria
Indi,Participation rate (%),Age or gender ndf,84.9,Victoria
Indi,Total participants,Total Persons,86812.0,Victoria
Indi,Eligible participants,Total Persons,105746.0,Victoria
Indi,Participation rate (%),Total Persons,82.1,Victoria
Isaacs,Total participants,18-19 years,2159.0,Victoria
Isaacs,Eligible participants,18-19 years,2666.0,Victoria
Isaacs,Participation rate (%),18-19 years,81.0,Victoria
Isaacs,Total participants,20-24 years,6462.0,Victoria
Isaacs,Eligible participants,20-24 years,8365.0,Victoria
Isaacs,Participation rate (%),20-24 years,77.3,Victoria
Isaacs,Total participants,25-29 years,6139.0,Victoria
Isaacs,Eligible participants,25-29 years,8163.0,Victoria
Isaacs,Participation rate (%),25-29 years,75.2,Victoria
Isaacs,Total participants,30-34 years,6894.0,Victoria
Isaacs,Eligible participants,30-34 years,9220.0,Victoria
Isaacs,Participation rate (%),30-34 years,74.8,Victoria
Isaacs,Total participants,35-39 years,7356.0,Victoria
Isaacs,Eligible participants,35-39 years,9574.0,Victoria
Isaacs,Participation rate (%),35-39 years,76.8,Victoria
Isaacs,Total participants,40-44 years,7895.0,Victoria
Isaacs,Eligible participants,40-44 years,10053.0,Victoria
Isaacs,Participation rate (%),40-44 years,78.5,Victoria
Isaacs,Total participants,45-49 years,8575.0,Victoria
Isaacs,Eligible participants,45-49 years,10626.0,Victoria
Isaacs,Participation rate (%),45-49 years,80.7,Victoria
Isaacs,Total participants,50-54 years,7717.0,Victoria
Isaacs,Eligible participants,50-54 years,9408.0,Victoria
Isaacs,Participation rate (%),50-54 years,82.0,Victoria
Isaacs,Total participants,55-59 years,7475.0,Victoria
Isaacs,Eligible participants,55-59 years,8868.0,Victoria
Isaacs,Participation rate (%),55-59 years,84.3,Victoria
Isaacs,Total participants,60-64 years,6684.0,Victoria
Isaacs,Eligible participants,60-64 years,7787.0,Victoria
Isaacs,Participation rate (%),60-64 years,85.8,Victoria
Isaacs,Total participants,65-69 years,6004.0,Victoria
Isaacs,Eligible participants,65-69 years,6892.0,Victoria
Isaacs,Participation rate (%),65-69 years,87.1,Victoria
Isaacs,Total participants,70-74 years,4954.0,Victoria
Isaacs,Eligible participants,70-74 years,5660.0,Victoria
Isaacs,Participation rate (%),70-74 years,87.5,Victoria
Isaacs,Total participants,75-79 years,3372.0,Victoria
Isaacs,Eligible participants,75-79 years,3895.0,Victoria
Isaacs,Participation rate (%),75-79 years,86.6,Victoria
Isaacs,Total participants,80-84 years,2277.0,Victoria
Isaacs,Eligible participants,80-84 years,2715.0,Victoria
Isaacs,Participation rate (%),80-84 years,83.9,Victoria
Isaacs,Total participants,85 years and over,2253.0,Victoria
Isaacs,Eligible participants,85 years and over,2867.0,Victoria
Isaacs,Participation rate (%),85 years and over,78.6,Victoria
Isaacs,Total participants,Age or gender ndf,767.0,Victoria
Isaacs,Eligible participants,Age or gender ndf,916.0,Victoria
Isaacs,Participation rate (%),Age or gender ndf,83.7,Victoria
Isaacs,Total participants,Total Persons,86983.0,Victoria
Isaacs,Eligible participants,Total Persons,107675.0,Victoria
Isaacs,Participation rate (%),Total Persons,80.8,Victoria
Jagajaga,Total participants,18-19 years,2344.0,Victoria
Jagajaga,Eligible participants,18-19 years,2717.0,Victoria
Jagajaga,Participation rate (%),18-19 years,86.3,Victoria
Jagajaga,Total participants,20-24 years,6670.0,Victoria
Jagajaga,Eligible participants,20-24 years,8069.0,Victoria
Jagajaga,Participation rate (%),20-24 years,82.7,Victoria
Jagajaga,Total participants,25-29 years,6350.0,Victoria
Jagajaga,Eligible participants,25-29 years,7809.0,Victoria
Jagajaga,Participation rate (%),25-29 years,81.3,Victoria
Jagajaga,Total participants,30-34 years,6449.0,Victoria
Jagajaga,Eligible participants,30-34 years,7977.0,Victoria
Jagajaga,Participation rate (%),30-34 years,80.8,Victoria
Jagajaga,Total participants,35-39 years,7049.0,Victoria
Jagajaga,Eligible participants,35-39 years,8573.0,Victoria
Jagajaga,Participation rate (%),35-39 years,82.2,Victoria
Jagajaga,Total participants,40-44 years,7745.0,Victoria
Jagajaga,Eligible participants,40-44 years,9277.0,Victoria
Jagajaga,Participation rate (%),40-44 years,83.5,Victoria
Jagajaga,Total participants,45-49 years,8033.0,Victoria
Jagajaga,Eligible participants,45-49 years,9576.0,Victoria
Jagajaga,Participation rate (%),45-49 years,83.9,Victoria
Jagajaga,Total participants,50-54 years,7585.0,Victoria
Jagajaga,Eligible participants,50-54 years,8858.0,Victoria
Jagajaga,Participation rate (%),50-54 years,85.6,Victoria
Jagajaga,Total participants,55-59 years,7939.0,Victoria
Jagajaga,Eligible participants,55-59 years,9022.0,Victoria
Jagajaga,Participation rate (%),55-59 years,88.0,Victoria
Jagajaga,Total participants,60-64 years,7455.0,Victoria
Jagajaga,Eligible participants,60-64 years,8354.0,Victoria
Jagajaga,Participation rate (%),60-64 years,89.2,Victoria
Jagajaga,Total participants,65-69 years,6537.0,Victoria
Jagajaga,Eligible participants,65-69 years,7211.0,Victoria
Jagajaga,Participation rate (%),65-69 years,90.7,Victoria
Jagajaga,Total participants,70-74 years,5297.0,Victoria
Jagajaga,Eligible participants,70-74 years,5829.0,Victoria
Jagajaga,Participation rate (%),70-74 years,90.9,Victoria
Jagajaga,Total participants,75-79 years,3567.0,Victoria
Jagajaga,Eligible participants,75-79 years,3991.0,Victoria
Jagajaga,Participation rate (%),75-79 years,89.4,Victoria
Jagajaga,Total participants,80-84 years,2427.0,Victoria
Jagajaga,Eligible participants,80-84 years,2785.0,Victoria
Jagajaga,Participation rate (%),80-84 years,87.1,Victoria
Jagajaga,Total participants,85 years and over,2383.0,Victoria
Jagajaga,Eligible participants,85 years and over,2959.0,Victoria
Jagajaga,Participation rate (%),85 years and over,80.5,Victoria
Jagajaga,Total participants,Age or gender ndf,976.0,Victoria
Jagajaga,Eligible participants,Age or gender ndf,1162.0,Victoria
Jagajaga,Participation rate (%),Age or gender ndf,84.0,Victoria
Jagajaga,Total participants,Total Persons,88806.0,Victoria
Jagajaga,Eligible participants,Total Persons,104169.0,Victoria
Jagajaga,Participation rate (%),Total Persons,85.3,Victoria
Kooyong,Total participants,18-19 years,2720.0,Victoria
Kooyong,Eligible participants,18-19 years,3103.0,Victoria
Kooyong,Participation rate (%),18-19 years,87.7,Victoria
Kooyong,Total participants,20-24 years,8064.0,Victoria
Kooyong,Eligible participants,20-24 years,9574.0,Victoria
Kooyong,Participation rate (%),20-24 years,84.2,Victoria
Kooyong,Total participants,25-29 years,7152.0,Victoria
Kooyong,Eligible participants,25-29 years,8672.0,Victoria
Kooyong,Participation rate (%),25-29 years,82.5,Victoria
Kooyong,Total participants,30-34 years,5729.0,Victoria
Kooyong,Eligible participants,30-34 years,7090.0,Victoria
Kooyong,Participation rate (%),30-34 years,80.8,Victoria
Kooyong,Total participants,35-39 years,5684.0,Victoria
Kooyong,Eligible participants,35-39 years,6919.0,Victoria
Kooyong,Participation rate (%),35-39 years,82.2,Victoria
Kooyong,Total participants,40-44 years,6148.0,Victoria
Kooyong,Eligible participants,40-44 years,7409.0,Victoria
Kooyong,Participation rate (%),40-44 years,83.0,Victoria
Kooyong,Total participants,45-49 years,7756.0,Victoria
Kooyong,Eligible participants,45-49 years,9065.0,Victoria
Kooyong,Participation rate (%),45-49 years,85.6,Victoria
Kooyong,Total participants,50-54 years,7871.0,Victoria
Kooyong,Eligible participants,50-54 years,9039.0,Victoria
Kooyong,Participation rate (%),50-54 years,87.1,Victoria
Kooyong,Total participants,55-59 years,7477.0,Victoria
Kooyong,Eligible participants,55-59 years,8418.0,Victoria
Kooyong,Participation rate (%),55-59 years,88.8,Victoria
Kooyong,Total participants,60-64 years,6656.0,Victoria
Kooyong,Eligible participants,60-64 years,7478.0,Victoria
Kooyong,Participation rate (%),60-64 years,89.0,Victoria
Kooyong,Total participants,65-69 years,5983.0,Victoria
Kooyong,Eligible participants,65-69 years,6583.0,Victoria
Kooyong,Participation rate (%),65-69 years,90.9,Victoria
Kooyong,Total participants,70-74 years,5009.0,Victoria
Kooyong,Eligible participants,70-74 years,5509.0,Victoria
Kooyong,Participation rate (%),70-74 years,90.9,Victoria
Kooyong,Total participants,75-79 years,3599.0,Victoria
Kooyong,Eligible participants,75-79 years,3953.0,Victoria
Kooyong,Participation rate (%),75-79 years,91.0,Victoria
Kooyong,Total participants,80-84 years,2605.0,Victoria
Kooyong,Eligible participants,80-84 years,2913.0,Victoria
Kooyong,Participation rate (%),80-84 years,89.4,Victoria
Kooyong,Total participants,85 years and over,3187.0,Victoria
Kooyong,Eligible participants,85 years and over,3945.0,Victoria
Kooyong,Participation rate (%),85 years and over,80.8,Victoria
Kooyong,Total participants,Age or gender ndf,912.0,Victoria
Kooyong,Eligible participants,Age or gender ndf,1029.0,Victoria
Kooyong,Participation rate (%),Age or gender ndf,88.6,Victoria
Kooyong,Total participants,Total Persons,86552.0,Victoria
Kooyong,Eligible participants,Total Persons,100699.0,Victoria
Kooyong,Participation rate (%),Total Persons,86.0,Victoria
Lalor,Total participants,18-19 years,2814.0,Victoria
Lalor,Eligible participants,18-19 years,3543.0,Victoria
Lalor,Participation rate (%),18-19 years,79.4,Victoria
Lalor,Total participants,20-24 years,8126.0,Victoria
Lalor,Eligible participants,20-24 years,10934.0,Victoria
Lalor,Participation rate (%),20-24 years,74.3,Victoria
Lalor,Total participants,25-29 years,8174.0,Victoria
Lalor,Eligible participants,25-29 years,11444.0,Victoria
Lalor,Participation rate (%),25-29 years,71.4,Victoria
Lalor,Total participants,30-34 years,11273.0,Victoria
Lalor,Eligible participants,30-34 years,16291.0,Victoria
Lalor,Participation rate (%),30-34 years,69.2,Victoria
Lalor,Total participants,35-39 years,11934.0,Victoria
Lalor,Eligible participants,35-39 years,16959.0,Victoria
Lalor,Participation rate (%),35-39 years,70.4,Victoria
Lalor,Total participants,40-44 years,10475.0,Victoria
Lalor,Eligible participants,40-44 years,13876.0,Victoria
Lalor,Participation rate (%),40-44 years,75.5,Victoria
Lalor,Total participants,45-49 years,9938.0,Victoria
Lalor,Eligible participants,45-49 years,12509.0,Victoria
Lalor,Participation rate (%),45-49 years,79.4,Victoria
Lalor,Total participants,50-54 years,8767.0,Victoria
Lalor,Eligible participants,50-54 years,10792.0,Victoria
Lalor,Participation rate (%),50-54 years,81.2,Victoria
Lalor,Total participants,55-59 years,7869.0,Victoria
Lalor,Eligible participants,55-59 years,9499.0,Victoria
Lalor,Participation rate (%),55-59 years,82.8,Victoria
Lalor,Total participants,60-64 years,6525.0,Victoria
Lalor,Eligible participants,60-64 years,7673.0,Victoria
Lalor,Participation rate (%),60-64 years,85.0,Victoria
Lalor,Total participants,65-69 years,5432.0,Victoria
Lalor,Eligible participants,65-69 years,6215.0,Victoria
Lalor,Participation rate (%),65-69 years,87.4,Victoria
Lalor,Total participants,70-74 years,3926.0,Victoria
Lalor,Eligible participants,70-74 years,4506.0,Victoria
Lalor,Participation rate (%),70-74 years,87.1,Victoria
Lalor,Total participants,75-79 years,2390.0,Victoria
Lalor,Eligible participants,75-79 years,2757.0,Victoria
Lalor,Participation rate (%),75-79 years,86.7,Victoria
Lalor,Total participants,80-84 years,1441.0,Victoria
Lalor,Eligible participants,80-84 years,1731.0,Victoria
Lalor,Participation rate (%),80-84 years,83.2,Victoria
Lalor,Total participants,85 years and over,1028.0,Victoria
Lalor,Eligible participants,85 years and over,1352.0,Victoria
Lalor,Participation rate (%),85 years and over,76.0,Victoria
Lalor,Total participants,Age or gender ndf,724.0,Victoria
Lalor,Eligible participants,Age or gender ndf,882.0,Victoria
Lalor,Participation rate (%),Age or gender ndf,82.1,Victoria
Lalor,Total participants,Total Persons,100836.0,Victoria
Lalor,Eligible participants,Total Persons,130963.0,Victoria
Lalor,Participation rate (%),Total Persons,77.0,Victoria
La Trobe,Total participants,18-19 years,2974.0,Victoria
La Trobe,Eligible participants,18-19 years,3572.0,Victoria
La Trobe,Participation rate (%),18-19 years,83.3,Victoria
La Trobe,Total participants,20-24 years,7928.0,Victoria
La Trobe,Eligible participants,20-24 years,10056.0,Victoria
La Trobe,Participation rate (%),20-24 years,78.8,Victoria
La Trobe,Total participants,25-29 years,6714.0,Victoria
La Trobe,Eligible participants,25-29 years,8697.0,Victoria
La Trobe,Participation rate (%),25-29 years,77.2,Victoria
La Trobe,Total participants,30-34 years,6822.0,Victoria
La Trobe,Eligible participants,30-34 years,8787.0,Victoria
La Trobe,Participation rate (%),30-34 years,77.6,Victoria
La Trobe,Total participants,35-39 years,7610.0,Victoria
La Trobe,Eligible participants,35-39 years,9712.0,Victoria
La Trobe,Participation rate (%),35-39 years,78.4,Victoria
La Trobe,Total participants,40-44 years,8676.0,Victoria
La Trobe,Eligible participants,40-44 years,10762.0,Victoria
La Trobe,Participation rate (%),40-44 years,80.6,Victoria
La Trobe,Total participants,45-49 years,9585.0,Victoria
La Trobe,Eligible participants,45-49 years,11651.0,Victoria
La Trobe,Participation rate (%),45-49 years,82.3,Victoria
La Trobe,Total participants,50-54 years,8704.0,Victoria
La Trobe,Eligible participants,50-54 years,10356.0,Victoria
La Trobe,Participation rate (%),50-54 years,84.0,Victoria
La Trobe,Total participants,55-59 years,8351.0,Victoria
La Trobe,Eligible participants,55-59 years,9682.0,Victoria
La Trobe,Participation rate (%),55-59 years,86.3,Victoria
La Trobe,Total participants,60-64 years,7039.0,Victoria
La Trobe,Eligible participants,60-64 years,7975.0,Victoria
La Trobe,Participation rate (%),60-64 years,88.3,Victoria
La Trobe,Total participants,65-69 years,6018.0,Victoria
La Trobe,Eligible participants,65-69 years,6725.0,Victoria
La Trobe,Participation rate (%),65-69 years,89.5,Victoria
La Trobe,Total participants,70-74 years,4432.0,Victoria
La Trobe,Eligible participants,70-74 years,4934.0,Victoria
La Trobe,Participation rate (%),70-74 years,89.8,Victoria
La Trobe,Total participants,75-79 years,2912.0,Victoria
La Trobe,Eligible participants,75-79 years,3193.0,Victoria
La Trobe,Participation rate (%),75-79 years,91.2,Victoria
La Trobe,Total participants,80-84 years,1751.0,Victoria
La Trobe,Eligible participants,80-84 years,1968.0,Victoria
La Trobe,Participation rate (%),80-84 years,89.0,Victoria
La Trobe,Total participants,85 years and over,1515.0,Victoria
La Trobe,Eligible participants,85 years and over,1820.0,Victoria
La Trobe,Participation rate (%),85 years and over,83.2,Victoria
La Trobe,Total participants,Age or gender ndf,870.0,Victoria
La Trobe,Eligible participants,Age or gender ndf,1013.0,Victoria
La Trobe,Participation rate (%),Age or gender ndf,85.9,Victoria
La Trobe,Total participants,Total Persons,91901.0,Victoria
La Trobe,Eligible participants,Total Persons,110903.0,Victoria
La Trobe,Participation rate (%),Total Persons,82.9,Victoria
Mallee,Total participants,18-19 years,1882.0,Victoria
Mallee,Eligible participants,18-19 years,2444.0,Victoria
Mallee,Participation rate (%),18-19 years,77.0,Victoria
Mallee,Total participants,20-24 years,4761.0,Victoria
Mallee,Eligible participants,20-24 years,7068.0,Victoria
Mallee,Participation rate (%),20-24 years,67.4,Victoria
Mallee,Total participants,25-29 years,4644.0,Victoria
Mallee,Eligible participants,25-29 years,7078.0,Victoria
Mallee,Participation rate (%),25-29 years,65.6,Victoria
Mallee,Total participants,30-34 years,4342.0,Victoria
Mallee,Eligible participants,30-34 years,6425.0,Victoria
Mallee,Participation rate (%),30-34 years,67.6,Victoria
Mallee,Total participants,35-39 years,4375.0,Victoria
Mallee,Eligible participants,35-39 years,6191.0,Victoria
Mallee,Participation rate (%),35-39 years,70.7,Victoria
Mallee,Total participants,40-44 years,5044.0,Victoria
Mallee,Eligible participants,40-44 years,6837.0,Victoria
Mallee,Participation rate (%),40-44 years,73.8,Victoria
Mallee,Total participants,45-49 years,6133.0,Victoria
Mallee,Eligible participants,45-49 years,7999.0,Victoria
Mallee,Participation rate (%),45-49 years,76.7,Victoria
Mallee,Total participants,50-54 years,6765.0,Victoria
Mallee,Eligible participants,50-54 years,8496.0,Victoria
Mallee,Participation rate (%),50-54 years,79.6,Victoria
Mallee,Total participants,55-59 years,7903.0,Victoria
Mallee,Eligible participants,55-59 years,9538.0,Victoria
Mallee,Participation rate (%),55-59 years,82.9,Victoria
Mallee,Total participants,60-64 years,7774.0,Victoria
Mallee,Eligible participants,60-64 years,9022.0,Victoria
Mallee,Participation rate (%),60-64 years,86.2,Victoria
Mallee,Total participants,65-69 years,7372.0,Victoria
Mallee,Eligible participants,65-69 years,8384.0,Victoria
Mallee,Participation rate (%),65-69 years,87.9,Victoria
Mallee,Total participants,70-74 years,6038.0,Victoria
